PARTNO,DESCRIPTION,TOTALPRINTEDQTY,PRINTEDBY,PRINTEDBY1,PRINTEDON,UPDATEDBY,UPDATEDON,OLDMRP,NEWMRP
2007-000171,R-CHIP;0OHM5%1/16WTP1005T0.35,47,2,2,2021-04-06,1,,10.00,10.00
2007-000171,R-CHIP;0OHM5%1/16WTP1005T0.35,11,2,2,2021-04-07,1,,10.00,10.00
2007-000171,R-CHIP;0OHM5%1/16WTP1005T0.35,15,2,2,2021-04-09,1,,10.00,10.00
2007-000171,R-CHIP;0OHM5%1/16WTP1005T0.35,55,2,2,2021-04-12,1,,10.00,10.00
2007-000171,R-CHIP;0OHM5%1/16WTP1005T0.35,11,2,2,2021-04-13,1,,10.00,10.00
A10,A,12,1,1,2021-04-01,1,,10.00,10.00
A10,A,1,2,2,2021-04-06,1,,10.00,10.00
A1000,A,3,1,1,2021-04-01,1,,10.00,10.00
A1000,A,1,2,2,2021-04-09,1,,10.00,10.00
A10002,B3334,10,2,2,2021-04-01,1,,10.00,10.00
A10023,B3341,5,2,2,2021-04-07,1,,10.00,10.00
A1005,B335,10,2,2,2021-04-04,1,,10.00,10.00
A1077,B359,3,1,1,2021-04-01,1,,10.00,10.00
